"Occupation.Class","Sex","Age.Class","Education","Marital.Status","Income.Group","Need.help.making.financial.decisions","Do.not.like.to.be.in.debt.at.anytime","Feel.satistifed.when.I.get.a.really.good.deal","Like.to.buy.products.with.prestigious.brand.names","Always.try.to.buy.things.on.sale","Once.find.brand.that.satistifies..don.t.experiment","Confident.will.have.enough.money.to.retire","Have.life.insurance"
"Blue Collar","Male","40-49","Some high school","Married","High","Disagree Slightly","Disagree Slightly","Neither Agree nor Disagree","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","Neither Agree nor Disagree","Yes"
"","Male","13-19","Some high school","Single","High","Disagree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree Slightly","No"
"Executives/Professionals","Male","20-29","College","Married","Medium high","Disagree Strongly","Agree Strongly","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree Strongly","Agree Slightly","Agree Strongly","No"
"White Collar","Male","20-29","Primary or less","Single","Medium high","Agree Slightly","Agree Strongly","Disagree Slightly","Neither Agree nor Disagree","Agree Slightly","Disagree Strongly","Agree Slightly","Yes"
"","Female","50-59","Primary or less","Married","Medium high","Agree Slightly","Agree Slightly","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","Neither Agree nor Disagree","Agree Strongly","No"
"White Collar","Male","20-29","Some high school","Single","High","Agree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree Slightly","Agree Slightly","No"
"White Collar","Male","50-59","College","Married","Medium high","Neither Agree nor Disagree","Agree Strongly","Disagree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree Slightly","Agree Slightly","Yes"
"","Male","13-19","Some high school","Single","Medium high","Agree Strongly","Agree Strongly","Agree Slightly","Agree Slightly","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","Yes"
"","Male","30-39","Some high school","Married","Medium high","Disagree Slightly","Agree Slightly","Agree Slightly","Disagree Strongly","Agree Slightly","Agree Slightly","Disagree Slightly","No"
"Blue Collar","Female","30-39","Primary or less","Married","Medium high","Neither Agree nor Disagree","Agree Strongly","Disagree Slightly","Neither Agree nor Disagree","Agree Slightly","Disagree Slightly","Agree Slightly","Yes"
